source,label_col,train_dataset,eval_dataset,auditor,accuracy,demographic_parity,equalized_odds,equal_opportunity
clip,gender,celeba,fairface,naive,0.476,0.0,0.0,0.0
clip,gender,celeba,utkface,naive,0.556,0.0,0.0,0.0
clip,gender,celeba,fairface,svm,0.958,0.0,0.0,0.0
clip,gender,celeba,utkface,svm,0.9446666666666667,0.0,0.0,0.0
clip,gender,celeba,fairface,deep,0.964,0.0,0.0,0.0
clip,gender,celeba,utkface,deep,0.9593333333333334,0.0,0.0,0.0
clip,gender,fairface,celeba,naive,0.6366666666666667,0.0,0.0,0.0
clip,gender,fairface,utkface,naive,0.556,0.0,0.0,0.0
clip,gender,fairface,celeba,svm,0.9906666666666667,0.0,0.0,0.0
clip,gender,fairface,utkface,svm,0.9446666666666667,0.0,0.0,0.0
clip,gender,fairface,celeba,deep,0.992,0.0,0.0,0.0
clip,gender,fairface,utkface,deep,0.9593333333333334,0.0,0.0,0.0
clip,gender,utkface,celeba,naive,0.6366666666666667,0.0,0.0,0.0
clip,gender,utkface,fairface,naive,0.476,0.0,0.0,0.0
clip,gender,utkface,celeba,svm,0.9906666666666667,0.0,0.0,0.0
clip,gender,utkface,fairface,svm,0.958,0.0,0.0,0.0
clip,gender,utkface,celeba,deep,0.992,0.0,0.0,0.0
clip,gender,utkface,fairface,deep,0.964,0.0,0.0,0.0
clip,race,fairface,utkface,naive,0.53,0.0,0.0,0.0
clip,race,fairface,utkface,svm,0.8406666666666667,0.0,0.0,0.0
clip,race,fairface,utkface,deep,0.89,0.0,0.0,0.0
clip,race,utkface,fairface,naive,0.13866666666666666,0.0,0.0,0.0
clip,race,utkface,fairface,svm,0.6593333333333333,0.0,0.0,0.0
clip,race,utkface,fairface,deep,0.7313333333333333,0.0,0.0,0.0
clip,age,fairface,utkface,naive,0.15533333333333332,0.0,0.0,0.0
clip,age,fairface,utkface,svm,0.7066666666666667,0.0,0.0,0.0
clip,age,fairface,utkface,deep,0.756,0.0,0.0,0.0
clip,age,utkface,fairface,naive,0.27266666666666667,0.0,0.0,0.0
clip,age,utkface,fairface,svm,0.5746666666666667,0.0,0.0,0.0
clip,age,utkface,fairface,deep,0.5853333333333334,0.0,0.0,0.0
deepface,gender,celeba,fairface,naive,0.476,0.0,0.0,0.0
deepface,gender,celeba,utkface,naive,0.556,0.0,0.0,0.0
deepface,gender,celeba,fairface,svm,0.8153333333333334,0.0,0.0,0.0
deepface,gender,celeba,utkface,svm,0.8226666666666667,0.0,0.0,0.0
deepface,gender,celeba,fairface,deep,0.8206666666666667,0.0,0.0,0.0
deepface,gender,celeba,utkface,deep,0.81,0.0,0.0,0.0
deepface,gender,fairface,celeba,naive,0.6366666666666667,0.0,0.0,0.0
deepface,gender,fairface,utkface,naive,0.556,0.0,0.0,0.0
deepface,gender,fairface,celeba,svm,0.9493333333333334,0.0,0.0,0.0
deepface,gender,fairface,utkface,svm,0.8226666666666667,0.0,0.0,0.0
deepface,gender,fairface,celeba,deep,0.9533333333333334,0.0,0.0,0.0
deepface,gender,fairface,utkface,deep,0.81,0.0,0.0,0.0
deepface,gender,utkface,celeba,naive,0.6366666666666667,0.0,0.0,0.0
deepface,gender,utkface,fairface,naive,0.476,0.0,0.0,0.0
deepface,gender,utkface,celeba,svm,0.9493333333333334,0.0,0.0,0.0
deepface,gender,utkface,fairface,svm,0.8153333333333334,0.0,0.0,0.0
deepface,gender,utkface,celeba,deep,0.9533333333333334,0.0,0.0,0.0
deepface,gender,utkface,fairface,deep,0.8206666666666667,0.0,0.0,0.0
deepface,race,fairface,utkface,naive,0.53,0.0,0.0,0.0
deepface,race,fairface,utkface,svm,0.6453333333333333,0.0,0.0,0.0
deepface,race,fairface,utkface,deep,0.6393333333333333,0.0,0.0,0.0
deepface,race,utkface,fairface,naive,0.13866666666666666,0.0,0.0,0.0
deepface,race,utkface,fairface,svm,0.38133333333333336,0.0,0.0,0.0
deepface,race,utkface,fairface,deep,0.41933333333333334,0.0,0.0,0.0
deepface,age,fairface,utkface,naive,0.15533333333333332,0.0,0.0,0.0
deepface,age,fairface,utkface,svm,0.5453333333333333,0.0,0.0,0.0
deepface,age,fairface,utkface,deep,0.552,0.0,0.0,0.0
deepface,age,utkface,fairface,naive,0.27266666666666667,0.0,0.0,0.0
deepface,age,utkface,fairface,svm,0.446,0.0,0.0,0.0
deepface,age,utkface,fairface,deep,0.458,0.0,0.0,0.0
