source,label_col,subgroup_col,subgroup_val,auditor,accuracy,demographic_parity,equalized_odds,equal_opportunity
clip,gender,overall,-1,naive,0.5562222222222222,,,
clip,gender,race,0,naive,0.5324027916251246,0.0,0.0,0.0
clip,gender,race,1,naive,0.5018315018315018,0.0,0.0,0.0
clip,gender,race,2,naive,0.5181236673773987,0.0,0.0,0.0
clip,gender,race,3,naive,0.5490196078431373,0.0,0.0,0.0
clip,gender,race,4,naive,0.4570552147239264,0.0,0.0,0.0
clip,gender,race,5,naive,0.5,0.0,0.0,0.0
clip,gender,race,6,naive,0.47540983606557374,0.0,0.0,0.0
clip,gender,age,0,naive,0.486013986013986,0.0,0.0,0.0
clip,gender,age,1,naive,0.5582655826558266,0.0,0.0,0.0
clip,gender,age,2,naive,0.576271186440678,0.0,0.0,0.0
clip,gender,age,3,naive,0.632398753894081,0.0,0.0,0.0
clip,gender,age,4,naive,0.4575289575289575,0.0,0.0,0.0
clip,gender,age,5,naive,0.40955631399317405,0.0,0.0,0.0
clip,gender,age,6,naive,0.3560606060606061,0.0,0.0,0.0
clip,gender,age,7,naive,0.49645390070921985,0.0,0.0,0.0
clip,gender,age,8,naive,0.5413533834586466,0.0,0.0,0.0
clip,gender,overall,-1,svm,0.9644444444444444,,,
clip,gender,race,0,svm,0.967098703888335,0.073191899710704,0.08732884541563322,0.07133512889572913
clip,gender,race,1,svm,0.9560439560439561,0.073191899710704,0.08732884541563322,0.07133512889572913
clip,gender,race,2,svm,0.8869936034115139,0.073191899710704,0.08732884541563322,0.07133512889572913
clip,gender,race,3,svm,0.9666666666666667,0.073191899710704,0.08732884541563322,0.07133512889572913
clip,gender,race,4,svm,0.9539877300613497,0.073191899710704,0.08732884541563322,0.07133512889572913
clip,gender,race,5,svm,0.961864406779661,0.073191899710704,0.08732884541563322,0.07133512889572913
clip,gender,race,6,svm,0.9617486338797814,0.073191899710704,0.08732884541563322,0.07133512889572913
clip,gender,age,0,svm,0.7657342657342657,0.2841263098272444,0.2308524749517768,0.22448979591836737
clip,gender,age,1,svm,0.9132791327913279,0.2841263098272444,0.2308524749517768,0.22448979591836737
clip,gender,age,2,svm,0.9661016949152542,0.2841263098272444,0.2308524749517768,0.22448979591836737
clip,gender,age,3,svm,0.9828660436137072,0.2841263098272444,0.2308524749517768,0.22448979591836737
clip,gender,age,4,svm,0.9845559845559846,0.2841263098272444,0.2308524749517768,0.22448979591836737
clip,gender,age,5,svm,0.9863481228668942,0.2841263098272444,0.2308524749517768,0.22448979591836737
clip,gender,age,6,svm,0.9848484848484849,0.2841263098272444,0.2308524749517768,0.22448979591836737
clip,gender,age,7,svm,0.9645390070921985,0.2841263098272444,0.2308524749517768,0.22448979591836737
clip,gender,age,8,svm,0.9774436090225563,0.2841263098272444,0.2308524749517768,0.22448979591836737
clip,gender,overall,-1,deep,0.9717777777777777,,,
clip,gender,race,0,deep,0.9780658025922233,0.09546769527483129,0.08127893614422485,0.055955014749262566
clip,gender,race,1,deep,0.9706959706959707,0.09546769527483129,0.08127893614422485,0.055955014749262566
